Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit
maharani-midnight-gadhwal-silk-lehenga-3017-a,Maharani's Midnight Gadhwal Silk Lehenga Choli - Design A (Red),"<h3>Maharani's Midnight Gadhwal Silk Lehenga Choli</h3>
<h4>Lehenga</h4>
<ul>
<li><strong>Fabric:</strong> Gadhwal Silk</li>
<li><strong>Work:</strong> Zari Embroidery, Motif and Beads Work, Dori Work, Sequins Work</li>
<li><strong>Flair:</strong> 3.80 meter long</li>
<li><strong>CanCan & Canvas:</strong> Standard attached</li>
</ul>
<h4>Blouse</h4>
<ul>
<li><strong>Fabric:</strong> Gadhwal Silk</li>
<li><strong>Work:</strong> Same as lehenga</li>
<li><strong>Size:</strong> 1 meter unstitched</li>
<li><strong>Back:</strong> Work on backside included</li>
</ul>
<h4>Dupatta</h4>
<ul>
<li><strong>Fabric:</strong> Net</li>
<li><strong>Work:</strong> Fancy Embroidery and Lace</li>
<li><strong>Size:</strong> 2.5 meter long</li>
</ul>
<p><strong>Weight:</strong> 4 kg approx</p>",Maharani,Lehenga Choli,"lehenga, gadhwal silk, bridal, wedding, embroidery, zari work, catalog 3017",TRUE,Design,Design A,,,MHR-3017-A,4000,shopify,5,deny,manual,229.99,,TRUE,TRUE,,https://raw.githubusercontent.com/leylabernie/luxemiashop/main/public/catalogs/3017/3017-3017-a_red_04.jpg,1,Maharani's Midnight Gadhwal Silk Lehenga Choli - Design A (Red),FALSE,Maharani's Midnight Gadhwal Silk Lehenga Choli - Design A (Red),"Gadhwal Silk Lehenga Choli with Zari Embroidery, Beads, Dori & Sequins Work. Design A in Red.",https://raw.githubusercontent.com/leylabernie/luxemiashop/main/public/catalogs/3017/3017-3017-a_red_04.jpg,kg
maharani-midnight-gadhwal-silk-lehenga-3017-a,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/leylabernie/luxemiashop/main/public/catalogs/3017/3017-3017-a_red_05.jpg,2,Maharani's Midnight Gadhwal Silk Lehenga Choli - Design A (Red) - View 2,,,,,
maharani-midnight-gadhwal-silk-lehenga-3017-a,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/leylabernie/luxemiashop/main/public/catalogs/3017/3017-3017-a_red_13.jpg,3,Maharani's Midnight Gadhwal Silk Lehenga Choli - Design A (Red) - View 3,,,,,
maharani-midnight-gadhwal-silk-lehenga-3017-a,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/leylabernie/luxemiashop/main/public/catalogs/3017/3017-3017-a_red_14.jpg,4,Maharani's Midnight Gadhwal Silk Lehenga Choli - Design A (Red) - View 4,,,,,
maharani-midnight-gadhwal-silk-lehenga-3017-a,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/leylabernie/luxemiashop/main/public/catalogs/3017/3017-3017-a_red_15.jpg,5,Maharani's Midnight Gadhwal Silk Lehenga Choli - Design A (Red) - View 5,,,,,
maharani-midnight-gadhwal-silk-lehenga-3017-b,Maharani's Midnight Gadhwal Silk Lehenga Choli - Design B (Orange),"<h3>Maharani's Midnight Gadhwal Silk Lehenga Choli</h3>
<h4>Lehenga</h4>
<ul>
<li><strong>Fabric:</strong> Gadhwal Silk</li>
<li><strong>Work:</strong> Zari Embroidery, Motif and Beads Work, Dori Work, Sequins Work</li>
<li><strong>Flair:</strong> 3.80 meter long</li>
<li><strong>CanCan & Canvas:</strong> Standard attached</li>
</ul>
<h4>Blouse</h4>
<ul>
<li><strong>Fabric:</strong> Gadhwal Silk</li>
<li><strong>Work:</strong> Same as lehenga</li>
<li><strong>Size:</strong> 1 meter unstitched</li>
<li><strong>Back:</strong> Work on backside included</li>
</ul>
<h4>Dupatta</h4>
<ul>
<li><strong>Fabric:</strong> Net</li>
<li><strong>Work:</strong> Fancy Embroidery and Lace</li>
<li><strong>Size:</strong> 2.5 meter long</li>
</ul>
<p><strong>Weight:</strong> 4 kg approx</p>",Maharani,Lehenga Choli,"lehenga, gadhwal silk, bridal, wedding, embroidery, zari work, catalog 3017",TRUE,Design,Design B,,,MHR-3017-B,4000,shopify,5,deny,manual,229.99,,TRUE,TRUE,,https://raw.githubusercontent.com/leylabernie/luxemiashop/main/public/catalogs/3017/3017-3017-b_orange_01.jpg,1,Maharani's Midnight Gadhwal Silk Lehenga Choli - Design B (Orange),FALSE,Maharani's Midnight Gadhwal Silk Lehenga Choli - Design B (Orange),"Gadhwal Silk Lehenga Choli with Zari Embroidery, Beads, Dori & Sequins Work. Design B in Orange.",https://raw.githubusercontent.com/leylabernie/luxemiashop/main/public/catalogs/3017/3017-3017-b_orange_01.jpg,kg
maharani-midnight-gadhwal-silk-lehenga-3017-b,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/leylabernie/luxemiashop/main/public/catalogs/3017/3017-3017-b_orange_03.jpg,2,Maharani's Midnight Gadhwal Silk Lehenga Choli - Design B (Orange) - View 2,,,,,
maharani-midnight-gadhwal-silk-lehenga-3017-b,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/leylabernie/luxemiashop/main/public/catalogs/3017/3017-3017-b_orange_11.jpg,3,Maharani's Midnight Gadhwal Silk Lehenga Choli - Design B (Orange) - View 3,,,,,
maharani-midnight-gadhwal-silk-lehenga-3017-b,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/leylabernie/luxemiashop/main/public/catalogs/3017/3017-3017-b_orange_17.jpg,4,Maharani's Midnight Gadhwal Silk Lehenga Choli - Design B (Orange) - View 4,,,,,
maharani-midnight-gadhwal-silk-lehenga-3017-b,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/leylabernie/luxemiashop/main/public/catalogs/3017/3017-3017-b_orange_18.jpg,5,Maharani's Midnight Gadhwal Silk Lehenga Choli - Design B (Orange) - View 5,,,,,
maharani-midnight-gadhwal-silk-lehenga-3017-c,Maharani's Midnight Gadhwal Silk Lehenga Choli - Design C (Red),"<h3>Maharani's Midnight Gadhwal Silk Lehenga Choli</h3>
<h4>Lehenga</h4>
<ul>
<li><strong>Fabric:</strong> Gadhwal Silk</li>
<li><strong>Work:</strong> Zari Embroidery, Motif and Beads Work, Dori Work, Sequins Work</li>
<li><strong>Flair:</strong> 3.80 meter long</li>
<li><strong>CanCan & Canvas:</strong> Standard attached</li>
</ul>
<h4>Blouse</h4>
<ul>
<li><strong>Fabric:</strong> Gadhwal Silk</li>
<li><strong>Work:</strong> Same as lehenga</li>
<li><strong>Size:</strong> 1 meter unstitched</li>
<li><strong>Back:</strong> Work on backside included</li>
</ul>
<h4>Dupatta</h4>
<ul>
<li><strong>Fabric:</strong> Net</li>
<li><strong>Work:</strong> Fancy Embroidery and Lace</li>
<li><strong>Size:</strong> 2.5 meter long</li>
</ul>
<p><strong>Weight:</strong> 4 kg approx</p>",Maharani,Lehenga Choli,"lehenga, gadhwal silk, bridal, wedding, embroidery, zari work, catalog 3017",TRUE,Design,Design C,,,MHR-3017-C,4000,shopify,5,deny,manual,229.99,,TRUE,TRUE,,https://raw.githubusercontent.com/leylabernie/luxemiashop/main/public/catalogs/3017/3017-3017-c_red_02.jpg,1,Maharani's Midnight Gadhwal Silk Lehenga Choli - Design C (Red),FALSE,Maharani's Midnight Gadhwal Silk Lehenga Choli - Design C (Red),"Gadhwal Silk Lehenga Choli with Zari Embroidery, Beads, Dori & Sequins Work. Design C in Red.",https://raw.githubusercontent.com/leylabernie/luxemiashop/main/public/catalogs/3017/3017-3017-c_red_02.jpg,kg
maharani-midnight-gadhwal-silk-lehenga-3017-c,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/leylabernie/luxemiashop/main/public/catalogs/3017/3017-3017-c_maroon_09.jpg,2,Maharani's Midnight Gadhwal Silk Lehenga Choli - Design C (Red) - View 2,,,,,
maharani-midnight-gadhwal-silk-lehenga-3017-c,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/leylabernie/luxemiashop/main/public/catalogs/3017/3017-3017-c_maroon_10.jpg,3,Maharani's Midnight Gadhwal Silk Lehenga Choli - Design C (Red) - View 3,,,,,
maharani-midnight-gadhwal-silk-lehenga-3017-c,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/leylabernie/luxemiashop/main/public/catalogs/3017/3017-3017-c_red_19.jpg,4,Maharani's Midnight Gadhwal Silk Lehenga Choli - Design C (Red) - View 4,,,,,
maharani-midnight-gadhwal-silk-lehenga-3017-d,Maharani's Midnight Gadhwal Silk Lehenga Choli - Design D (Cream),"<h3>Maharani's Midnight Gadhwal Silk Lehenga Choli</h3>
<h4>Lehenga</h4>
<ul>
<li><strong>Fabric:</strong> Gadhwal Silk</li>
<li><strong>Work:</strong> Zari Embroidery, Motif and Beads Work, Dori Work, Sequins Work</li>
<li><strong>Flair:</strong> 3.80 meter long</li>
<li><strong>CanCan & Canvas:</strong> Standard attached</li>
</ul>
<h4>Blouse</h4>
<ul>
<li><strong>Fabric:</strong> Gadhwal Silk</li>
<li><strong>Work:</strong> Same as lehenga</li>
<li><strong>Size:</strong> 1 meter unstitched</li>
<li><strong>Back:</strong> Work on backside included</li>
</ul>
<h4>Dupatta</h4>
<ul>
<li><strong>Fabric:</strong> Net</li>
<li><strong>Work:</strong> Fancy Embroidery and Lace</li>
<li><strong>Size:</strong> 2.5 meter long</li>
</ul>
<p><strong>Weight:</strong> 4 kg approx</p>",Maharani,Lehenga Choli,"lehenga, gadhwal silk, bridal, wedding, embroidery, zari work, catalog 3017",TRUE,Design,Design D,,,MHR-3017-D,4000,shopify,5,deny,manual,229.99,,TRUE,TRUE,,https://raw.githubusercontent.com/leylabernie/luxemiashop/main/public/catalogs/3017/3017-3017-d_cream_06.jpg,1,Maharani's Midnight Gadhwal Silk Lehenga Choli - Design D (Cream),FALSE,Maharani's Midnight Gadhwal Silk Lehenga Choli - Design D (Cream),"Gadhwal Silk Lehenga Choli with Zari Embroidery, Beads, Dori & Sequins Work. Design D in Cream.",https://raw.githubusercontent.com/leylabernie/luxemiashop/main/public/catalogs/3017/3017-3017-d_cream_06.jpg,kg
maharani-midnight-gadhwal-silk-lehenga-3017-d,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/leylabernie/luxemiashop/main/public/catalogs/3017/3017-3017-d_cream_07.jpg,2,Maharani's Midnight Gadhwal Silk Lehenga Choli - Design D (Cream) - View 2,,,,,
maharani-midnight-gadhwal-silk-lehenga-3017-d,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/leylabernie/luxemiashop/main/public/catalogs/3017/3017-3017-d_cream_08.jpg,3,Maharani's Midnight Gadhwal Silk Lehenga Choli - Design D (Cream) - View 3,,,,,
maharani-midnight-gadhwal-silk-lehenga-3017-d,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/leylabernie/luxemiashop/main/public/catalogs/3017/3017-3017-d_cream_12.jpg,4,Maharani's Midnight Gadhwal Silk Lehenga Choli - Design D (Cream) - View 4,,,,,
maharani-midnight-gadhwal-silk-lehenga-3017-d,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/leylabernie/luxemiashop/main/public/catalogs/3017/3017-3017-d_cream_16.jpg,5,Maharani's Midnight Gadhwal Silk Lehenga Choli - Design D (Cream) - View 5,,,,,
